class,nel
2,"[2, 10, 17]"
17,"[17, 17, 10, 17]"
2,"[2, 6, 17, 10, 2, 17]"
17,"[17, 17]"
0,"[6, 17, 0, 10, 0, 17]"
2,"[17, 2, 17, 10, 2, 17]"
17,"[17, 5, 17, 17]"
17,"[4, 17, 17]"
17,"[4, 0, 0, 17]"
17,"[4, 17, 17, 17, 17]"
17,"[4, 17, 17]"
4,"[17, 4, 17, 17]"
17,"[17, 17, 17, 17, 17]"
17,"[4, 17, 17, 17]"
2,"[2, 4, 17]"
0,"[4, 17, 17]"
17,"[17, 17, 17]"
17,[17]
17,[10]
17,"[17, 17]"
17,"[17, 17, 17]"
17,"[10, 17]"
2,[2]
2,"[2, 10]"
17,[10]
2,[2]
2,[2]
17,"[17, 5, 17, 7, 17]"
17,"[17, 17]"
2,"[2, 5, 2]"
17,"[17, 17, 17]"
2,"[2, 17, 17]"
2,"[2, 17, 17, 17]"
2,"[2, 2]"
17,"[2, 17]"
4,"[2, 4, 4]"
17,[17]
4,"[2, 4, 2, 4]"
17,"[2, 17]"
2,"[17, 2, 17]"
17,"[2, 17]"
17,"[17, 17]"
4,"[2, 4, 4]"
2,"[2, 4, 2, 4]"
2,"[2, 2, 17]"
4,"[2, 5, 4, 4, 17, 17]"
17,"[17, 2, 5, 17]"
2,"[17, 2, 17, 2, 17]"
17,"[2, 17]"
